year_month,Country,Quantity
2010-12-01,Australia,454
2010-12-01,Austria,3
2010-12-01,Bahrain,54
2010-12-01,Belgium,1755
2010-12-01,Channel Islands,80
2010-12-01,Cyprus,917
2010-12-01,Denmark,454
2010-12-01,EIRE,5381
2010-12-01,Finland,1254
2010-12-01,France,4978
2010-12-01,Germany,6723
2010-12-01,Iceland,319
2010-12-01,Israel,-56
2010-12-01,Italy,293
2010-12-01,Japan,4093
2010-12-01,Lithuania,652
2010-12-01,Netherlands,6811
2010-12-01,Norway,3582
2010-12-01,Poland,140
2010-12-01,Portugal,945
2010-12-01,Spain,867
2010-12-01,Sweden,3714
2010-12-01,Switzerland,714
2010-12-01,United Kingdom,298101
2011-01-01,Australia,5644
2011-01-01,Bahrain,-54
2011-01-01,Belgium,783
2011-01-01,Channel Islands,255
2011-01-01,Cyprus,144
2011-01-01,EIRE,8688
2011-01-01,Finland,765
2011-01-01,France,9155
2011-01-01,Germany,8906
2011-01-01,Greece,526
2011-01-01,Hong Kong,1121
2011-01-01,Iceland,315
2011-01-01,Israel,100
2011-01-01,Italy,1096
2011-01-01,Japan,-45
2011-01-01,Lebanon,386
2011-01-01,Netherlands,20417
2011-01-01,Poland,288
2011-01-01,Portugal,2078
2011-01-01,Singapore,1091
2011-01-01,Spain,3837
2011-01-01,Sweden,3096
2011-01-01,Switzerland,2993
2011-01-01,United Kingdom,237381
2011-02-01,Australia,8659
2011-02-01,Austria,342
2011-02-01,Belgium,1097
2011-02-01,Channel Islands,935
2011-02-01,Cyprus,2190
2011-02-01,Czech Republic,346
2011-02-01,Denmark,224
2011-02-01,EIRE,5328
2011-02-01,Finland,141
2011-02-01,France,5301
2011-02-01,Germany,4083
2011-02-01,Israel,286
2011-02-01,Italy,110
2011-02-01,Japan,2999
2011-02-01,Netherlands,16360
2011-02-01,Norway,295
2011-02-01,Poland,297
2011-02-01,Portugal,558
2011-02-01,Saudi Arabia,80
2011-02-01,Spain,866
2011-02-01,Sweden,250
2011-02-01,Switzerland,1105
2011-02-01,United Arab Emirates,496
2011-02-01,United Kingdom,225641
2011-03-01,Australia,10329
2011-03-01,Austria,982
2011-03-01,Belgium,1776
2011-03-01,Canada,88
2011-03-01,Channel Islands,2104
2011-03-01,Cyprus,1005
2011-03-01,Denmark,879
2011-03-01,EIRE,9562
2011-03-01,Finland,2534
2011-03-01,France,8639
2011-03-01,Germany,7675
2011-03-01,Greece,289
2011-03-01,Hong Kong,0
2011-03-01,Italy,685
2011-03-01,Japan,1
2011-03-01,Netherlands,14828
2011-03-01,Norway,90
2011-03-01,Poland,153
2011-03-01,Portugal,1626
2011-03-01,Saudi Arabia,-5
2011-03-01,Spain,2540
2011-03-01,Sweden,5263
2011-03-01,Switzerland,986
2011-03-01,United Kingdom,279843
2011-04-01,Australia,117
2011-04-01,Austria,311
2011-04-01,Belgium,1173
2011-04-01,Brazil,356
2011-04-01,Channel Islands,97
2011-04-01,Cyprus,-4
2011-04-01,Czech Republic,-39
2011-04-01,EIRE,4135
2011-04-01,European Community,34
2011-04-01,Finland,788
2011-04-01,France,2216
2011-04-01,Germany,5692
2011-04-01,Greece,262
2011-04-01,Hong Kong,732
2011-04-01,Iceland,483
2011-04-01,Israel,30
2011-04-01,Italy,653
2011-04-01,Japan,7401
2011-04-01,Netherlands,1768
2011-04-01,Poland,432
2011-04-01,Portugal,951
2011-04-01,Singapore,1384
2011-04-01,Spain,953
2011-04-01,Sweden,310
2011-04-01,Switzerland,778
2011-04-01,USA,137
2011-04-01,United Kingdom,257666
2011-04-01,Unspecified,282
2011-05-01,Australia,9073
2011-05-01,Austria,476
2011-05-01,Bahrain,260
2011-05-01,Belgium,1825
2011-05-01,Canada,504
2011-05-01,Channel Islands,221
2011-05-01,Denmark,368
2011-05-01,EIRE,8002
2011-05-01,France,9780
2011-05-01,Germany,12951
2011-05-01,Hong Kong,1262
2011-05-01,Italy,267
2011-05-01,Japan,743
2011-05-01,Netherlands,19936
2011-05-01,Poland,616
2011-05-01,Portugal,310
2011-05-01,Spain,1468
2011-05-01,Sweden,2829
2011-05-01,Switzerland,2245
2011-05-01,United Kingdom,306452
2011-05-01,Unspecified,803
2011-06-01,Australia,15973
2011-06-01,Austria,-6
2011-06-01,Belgium,2244
2011-06-01,Canada,1092
2011-06-01,Channel Islands,836
2011-06-01,Cyprus,356
2011-06-01,Denmark,1544
2011-06-01,EIRE,12334
2011-06-01,European Community,128
2011-06-01,Finland,157
2011-06-01,France,9441
2011-06-01,Germany,7348
2011-06-01,Hong Kong,537
2011-06-01,Iceland,196
2011-06-01,Italy,51
2011-06-01,Japan,2256
2011-06-01,Malta,399
2011-06-01,Netherlands,19732
2011-06-01,Norway,2009
2011-06-01,Poland,70
2011-06-01,Portugal,420
2011-06-01,Spain,1537
2011-06-01,Sweden,404
2011-06-01,Switzerland,3965
2011-06-01,United Kingdom,258522
2011-06-01,Unspecified,78
2011-07-01,Australia,5185
2011-07-01,Austria,573
2011-07-01,Belgium,1678
2011-07-01,Canada,1027
2011-07-01,Denmark,241
2011-07-01,EIRE,22123
2011-07-01,European Community,335
2011-07-01,Finland,1273
2011-07-01,France,5656
2011-07-01,Germany,8991
2011-07-01,Greece,243
2011-07-01,Israel,633
2011-07-01,Italy,22
2011-07-01,Japan,2328
2011-07-01,Netherlands,10
2011-07-01,Norway,586
2011-07-01,Poland,285
2011-07-01,Portugal,1436
2011-07-01,Singapore,2160
2011-07-01,Spain,3438
2011-07-01,Sweden,6006
2011-07-01,Switzerland,1705
2011-07-01,United Kingdom,324129
2011-07-01,Unspecified,1053
2011-08-01,Australia,12570
2011-08-01,Austria,790
2011-08-01,Belgium,2061
2011-08-01,Canada,52
2011-08-01,Channel Islands,2008
2011-08-01,Denmark,329
2011-08-01,EIRE,7897
2011-08-01,Finland,692
2011-08-01,France,7948
2011-08-01,Germany,9560
2011-08-01,Hong Kong,736
2011-08-01,Iceland,277
2011-08-01,Israel,3028
2011-08-01,Italy,1128
2011-08-01,Japan,-27
2011-08-01,Malta,377
2011-08-01,Netherlands,29107
2011-08-01,Norway,611
2011-08-01,Poland,186
2011-08-01,Portugal,1014
2011-08-01,Spain,1598
2011-08-01,Sweden,1308
2011-08-01,Switzerland,2960
2011-08-01,United Kingdom,319804
2011-08-01,Unspecified,185
