Country,UnitPrice
United Kingdom,2245715.474
EIRE,48447.19
France,43031.99
Germany,37666.0
Singapore,25108.89
Portugal,13037.54
Spain,12633.45
Hong Kong,12241.5
Belgium,7540.13
Switzerland,6813.69
Norway,6529.06
Netherlands,6492.55
Australia,4054.75
Cyprus,3920.07
Italy,3879.39
Finland,3786.85
Channel Islands,3738.55
Sweden,1806.83
Austria,1701.52
Poland,1422.27
Denmark,1266.95
Unspecified,1204.01
Israel,1079.04
Canada,910.58
Japan,814.86
Greece,713.29
Malta,666.01
USA,644.98
Iceland,481.21
European Community,294.05
RSA,248.1
Lebanon,242.44
United Arab Emirates,229.89
Brazil,142.6
Lithuania,99.44
Czech Republic,88.15
Bahrain,86.57
Saudi Arabia,24.11
