year_month,Country,revenue
2010-12-01,Australia,143.66
2010-12-01,Austria,65.12
2010-12-01,Bahrain,3.81
2010-12-01,Belgium,273.35
2010-12-01,Channel Islands,160.64
2010-12-01,Cyprus,198.68
2010-12-01,Denmark,92.97
2010-12-01,EIRE,1973.13
2010-12-01,Finland,49.6
2010-12-01,France,1557.36
2010-12-01,Germany,2181.67
2010-12-01,Iceland,89.59
2010-12-01,Israel,8.06
2010-12-01,Italy,215.5
2010-12-01,Japan,123.5
2010-12-01,Lithuania,99.44
2010-12-01,Netherlands,161.69
2010-12-01,Norway,238.83
2010-12-01,Poland,18.99
2010-12-01,Portugal,498.31
2010-12-01,Spain,250.76
2010-12-01,Sweden,47.27
2010-12-01,Switzerland,146.02
2011-01-01,Australia,338.94
2011-01-01,Bahrain,3.81
2011-01-01,Belgium,225.82999999999998
2011-01-01,Channel Islands,198.73
2011-01-01,Cyprus,292.01
2011-01-01,EIRE,854.61
2011-01-01,Finland,96.65
2011-01-01,France,2353.99
2011-01-01,Germany,2707.16
2011-01-01,Greece,207.39
2011-01-01,Hong Kong,178.85999999999999
2011-01-01,Iceland,73.17
2011-01-01,Israel,59.94
2011-01-01,Italy,364.7
2011-01-01,Japan,7.85
2011-01-01,Lebanon,242.44
2011-01-01,Netherlands,443.62
2011-01-01,Poland,96.03999999999999
2011-01-01,Portugal,425.33
2011-01-01,Singapore,263.34000000000003
2011-01-01,Spain,4280.1
2011-01-01,Sweden,149.37
2011-01-01,Switzerland,436.81
2011-02-01,Australia,273.63
2011-02-01,Austria,110.61
2011-02-01,Belgium,467.51
2011-02-01,Channel Islands,26.22
2011-02-01,Cyprus,1701.6399999999999
2011-02-01,Czech Republic,28.89
2011-02-01,Denmark,63.93
2011-02-01,EIRE,1643.37
2011-02-01,Finland,54.47
2011-02-01,France,1284.84
2011-02-01,Germany,1429.97
2011-02-01,Israel,46.8
2011-02-01,Italy,58.0
2011-02-01,Japan,161.19
2011-02-01,Netherlands,437.53
2011-02-01,Norway,133.65
2011-02-01,Poland,68.5
2011-02-01,Portugal,216.98000000000002
2011-02-01,Saudi Arabia,21.16
2011-02-01,Spain,471.71999999999997
2011-02-01,Sweden,62.91
