year_month,Country,revenue
2010-12-01,Cyprus,198.68
2010-12-01,EIRE,1973.13
2010-12-01,France,1557.36
2010-12-01,Germany,2181.67
2010-12-01,Italy,215.5
2010-12-01,Norway,238.83
2010-12-01,Portugal,498.31
2010-12-01,Spain,250.76
2011-01-01,Cyprus,292.01
2011-01-01,EIRE,854.61
2011-01-01,France,2353.99
2011-01-01,Germany,2707.16
2011-01-01,Hong Kong,178.85999999999999
2011-01-01,Italy,364.7
2011-01-01,Portugal,425.33
2011-01-01,Singapore,263.34000000000003
2011-01-01,Spain,4280.1
2011-02-01,Cyprus,1701.6399999999999
2011-02-01,EIRE,1643.37
2011-02-01,France,1284.84
2011-02-01,Germany,1429.97
2011-02-01,Italy,58.0
2011-02-01,Norway,133.65
2011-02-01,Portugal,216.98000000000002
2011-02-01,Spain,471.71999999999997
2011-03-01,Cyprus,121.19
2011-03-01,EIRE,9099.32
2011-03-01,France,1735.02
2011-03-01,Germany,2186.09
2011-03-01,Hong Kong,5167.52
2011-03-01,Italy,402.63
2011-03-01,Norway,1831.72
2011-03-01,Portugal,334.88
2011-03-01,Spain,870.36
2011-04-01,Cyprus,17.9
2011-04-01,EIRE,1228.85
2011-04-01,France,3197.27
2011-04-01,Germany,2083.36
2011-04-01,Hong Kong,113.41
2011-04-01,Italy,43.62
2011-04-01,Portugal,214.86
2011-04-01,Singapore,12309.61
2011-04-01,Spain,396.65
2011-05-01,EIRE,2656.6
2011-05-01,France,2605.62
2011-05-01,Germany,3079.12
2011-05-01,Hong Kong,217.96
2011-05-01,Italy,60.25
2011-05-01,Portugal,7377.82
2011-05-01,Spain,419.66
2011-06-01,Cyprus,231.0
2011-06-01,EIRE,9980.05
2011-06-01,France,1990.25
2011-06-01,Germany,2033.55
2011-06-01,Hong Kong,59.44
2011-06-01,Italy,116.62
2011-06-01,Norway,1521.0700000000002
2011-06-01,Portugal,170.73
2011-06-01,Spain,798.09
2011-07-01,EIRE,2775.02
2011-07-01,France,1623.51
2011-07-01,Germany,3264.33
2011-07-01,Italy,48.800000000000004
2011-07-01,Norway,168.63
2011-07-01,Portugal,200.21
2011-07-01,Singapore,230.46
2011-07-01,Spain,647.63
2011-08-01,EIRE,4097.89
2011-08-01,France,1818.1299999999999
2011-08-01,Germany,2749.0
2011-08-01,Hong Kong,414.75
2011-08-01,Italy,454.15
2011-08-01,Norway,418.15999999999997
2011-08-01,Portugal,52.81
2011-08-01,Spain,901.03
2011-09-01,Cyprus,5.95
2011-09-01,EIRE,4847.19
2011-09-01,France,3393.72
2011-09-01,Germany,2582.97
2011-09-01,Hong Kong,5307.9
2011-09-01,Italy,106.6
2011-09-01,Norway,746.67
2011-09-01,Portugal,191.76
2011-09-01,Spain,997.87
2011-10-01,Cyprus,1036.3600000000001
2011-10-01,EIRE,3467.56
2011-10-01,France,15356.95
2011-10-01,Germany,5762.75
2011-10-01,Hong Kong,129.46
2011-10-01,Italy,732.61
2011-10-01,Norway,511.37
2011-10-01,Portugal,2443.56
2011-10-01,Singapore,12305.48
2011-10-01,Spain,1248.16
2011-11-01,Cyprus,245.99
2011-11-01,EIRE,4608.55
2011-11-01,France,4988.08
2011-11-01,Germany,6194.66
2011-11-01,Hong Kong,652.2
2011-11-01,Italy,1211.46
2011-11-01,Norway,740.53
2011-11-01,Portugal,561.24
2011-11-01,Spain,1200.94
2011-12-01,Cyprus,69.35
2011-12-01,EIRE,1215.05
2011-12-01,France,1127.25
2011-12-01,Germany,1411.3700000000001
2011-12-01,Italy,64.45
2011-12-01,Norway,218.43
2011-12-01,Portugal,349.05
2011-12-01,Spain,150.48
