Index   Major_Category  Minor_Category  Total_Orders
0         Clothes            Tops            63
1         Clothes           Shoes            57
2         Clothes            Hats            56
3          Garden           Hoses            51
4          Garden           Rakes            51
5          Garden           Seeds            47
6       Household           Lamps            47
7       Household        Curtains            46
8          Garden            Turf            40
9       Household            Rugs            39
10        Kitchen          Plates            33
11        Kitchen          Scales            33
12        Kitchen         Cutlery            32
13      Household          Chairs            31
14        Kitchen           Bowls            25
15        Kitchen  Cooking_Knives            25
16        Kitchen        Coasters            24
